Fruit,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Grapefruits,302237,309583,226527,180413,294103,319160,357911,407827,468853,436441,358147,423097,372385,316378,319715,305019,300519,241792,267204,350479,376728,296823,294287,254368,291082,416819,372927,408792,273076,224098,291424,283537,279033,256524,241686,216258,254318
Lemons,144890,121334,107224,96305,145600,236889,156660,226195,188290,223450,305165,277835,238687,282823,248101,266043,252835,254626,258297,263788,267382,277771,329789,245856,291258,344790,446682,407502,523528,335065,395339,386514,448698,400295,641259,696835,755086
Oranges,1301845,1279177,1325073,1334634,1358778,1404301,1184492,1363227,1809371,1783269,1692447,1525176,1410099,1543981,1630196,1692235,1788750,1819240,2263631,1511643,1775222,1546116,1633590,1587979,1501780,1901035,1922338,1808430,2198828,1970070,1997188,2230412,2621620,2073638,2254303,1963353,1927270
Tangerines,33907,28151,51465,38098,47602,63123,59335,76885,91556,78114,70681,83575,99308,87971,75116,145318,111842,98076,110580,108454,83981,109711,120529,104921,115406,135149,131467,158455,236193,207202,274519,330503,349167,426101,557357,468083,490217
Apples,705312,790118,856880,738707,951214,892446,927286,1060109,941721,984458,1069537,1608572,1597501,1406532,1367024,1557565,1820188,1431706,1431929,1409703,1466268,1314432,1453199,1686222,1750838,1712290,1997786,2608220,2210997,2182003,2310982,2830784,3314996,3132936,2870745,3350095,3462460
Avocados,125370,132346,99780,117433,107051,138896,163250,120168,211790,224298,245006,204139,175737,139506,260684,241893,249656,275252,290158,314760,353045,354259,345590,380537,389480,292421,350243,341239,214546,429586,479068,406047,383676,361305,326526,433447,316041
Cherries,135175,157685,127045,176966,164006,163770,156859,181653,189105,172612,156162,228835,233391,223774,248603,211524,264769,323422,257295,290384,327483,328064,302350,422323,507074,548089,518679,624979,654387,574958,756425,903657,893833,876193,873361,838159,862432
Grapes,1332439,1324997,1413791,1074643,983265,960515,1177269,1361061,1604299,1854955,1676836,1736063,1846216,2000445,1887974,2045091,2372217,3119448,2650637,2963310,3099883,2952381,2837398,2609279,3010742,3490260,3303107,3453124,3613420,4101600,4023967,4262945,5661096,6135301,5822250,5914468,6257187
Nectarines,44121,41678,44322,55500,57779,68723,75720,65545,85593,87645,109999,86457,73710,102421,68168,93990,116977,98895,105466,112497,106256,127642,114600,119028,86184,126942,121004,96305,110915,138611,129075,130973,144906,125113,178421,158101,148465
Olives,37714,31205,75741,31659,50712,54336,66231,42188,45325,57441,64059,36335,90585,56974,38976,50065,102422,66768,41310,54954,34768,90048,58983,48262,60643,80102,18119,86694,46587,32209,136796,52168,130038,134881,73559,160043,138090
Peaches,364089,404813,262558,255798,319646,295149,314926,308970,383687,361374,374167,396109,379749,395231,314449,401393,389894,444137,434889,451728,470399,483043,488011,454406,461804,511464,513093,502087,545499,593387,617459,587228,618369,547978,629524,605794,628672
Pears,174717,162740,147525,136795,150440,193084,198360,195742,218359,258638,260861,271576,275241,247045,226521,241276,292788,306761,284229,294055,288196,273206,253197,267829,286293,295600,307595,363092,396081,355662,386955,366552,432988,430660,467194,494190,475425
Pineapples,76596,89745,99484,100376,89928,90530,99720,99286,107402,98310,106365,107775,102100,79850,78890,87360,95914,91721,92776,101448,101530,96337,100616,101470,83104,79288,73652,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Plums and prunes,198156,180983,180578,169455,157863,195734,199876,205695,255020,251946,295335,256412,254125,261544,257255,324005,291778,267398,237562,196539,187462,216077,184936,224302,202191,179475,274186,223483,256378,267535,259225,248557,269768,238212,376987,335597,195754
Cranberries,89194,107494,142018,155266,180940,189959,165086,150906,186340,164720,156455,206616,214767,196820,230795,223938,307827,350147,199114,109072,100851,113646,182783,209834,202670,219985,278888,332092,457192,305669,299123,345561,385506,287322,254412,261853,292292
Strawberries,244513,310267,424539,407188,413253,450819,503641,549641,544279,537756,589588,631458,697950,669937,836142,811634,769393,903990,1002709,1145876,1045413,1069259,1164270,1377277,1297723,1399161,1523089,1751108,1918288,2129585,2260733,2391406,2453039,2609038,2821854,2239301,2335910
Blueberries,49409,64361,46708,44863,28916,43396,42132,54512,75414,61998,68212,66209,128616,111233,108417,122283,147370,170112,136649,187867,222536,187004,212426,247529,296981,381777,560092,614106,591842,517325,643861,880269,841663,799356,889239,872714,747839
Almonds,473193,299072,311051,251576,446134,360640,461568,648000,600075,480930,597990,564179,691340,930618,965202,880896,1018368,1160640,703590,687742,666487,740012,1200687,1600144,2189005,2525909,2258790,2401875,2343200,2293500,2903380,4007860,4816860,6384690,7388000,5868750,5158160
Pecans,136792,180478,152920,153613,143951,163106,196649,139989,166661,178965,247677,307016,240797,213862,207345,271232,134355,259220,177452,330398,238768,201101,165033,277629,326924,406920,322493,433644,271687,430388,674828,655889,475991,460390,516591,560216,696806
Walnuts,184355,228109,238680,125544,155490,174762,194400,243048,192698,245030,236080,279720,286230,361400,238960,327600,328640,384670,238350,250738,296360,341600,329940,378160,451750,557350,563980,751120,558080,747270,1028160,1336900,1505910,1825320,1907140,1012020,1241660
Other fruit and nuts,403375,358594,469882,411037,486950,487041,550301,555344,666252,608828,700230,689246,681076,701238,692109,717483,692088,889965,798968,880775,876397,785512,1001690,983520,1405435,1532702,1396049,1285345,1224799,1342857,1744420,1528524,2080661,2399081,2400391,1968642,2424085
